model,relative_loop_file,mesh_file,mesh_exists,header_loops,parsed_loops,count_matches,concave,regular,convex,singular,actionable_nonconvex,type_pattern,loop_file,concave_fraction,regular_fraction,convex_fraction,mesh_parent,split,complexity_stratum,v1_split,v1_complexity_stratum
indorelax,indorelax/indorelax_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/indorelax/indorelax_rem_splitted.obj,True,61,61,True,0,61,0,0,61,R61,/home/yjk/codes/LoopyCuts/test_data/indorelax/indorelax_rem_loop.txt,0.0,1.0,0.0,indorelax,train,3,train,3
kitten,kitten/kitten_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/kitten/kitten_rem_splitted.obj,True,61,61,True,0,61,0,0,61,R61,/home/yjk/codes/LoopyCuts/test_data/kitten/kitten_rem_loop.txt,0.0,1.0,0.0,kitten,train,3,train,3
teapot,teapot/teapot_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/teapot/teapot_rem_splitted.obj,True,61,61,True,0,61,0,0,61,R61,/home/yjk/codes/LoopyCuts/test_data/teapot/teapot_rem_loop.txt,0.0,1.0,0.0,teapot,train,3,train,3
trebol,trebol/trebol_rem_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/trebol/trebol_rem_rem_splitted.obj,True,61,61,True,0,61,0,0,61,R61,/home/yjk/codes/LoopyCuts/test_data/trebol/trebol_rem_rem_loop.txt,0.0,1.0,0.0,trebol,train,4,train,4
wedge,wedge/wedge_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/wedge/wedge_rem_splitted.obj,True,79,79,True,0,61,18,0,61,R61 V18,/home/yjk/codes/LoopyCuts/test_data/wedge/wedge_rem_loop.txt,0.0,0.7721518987341772,0.2278481012658227,wedge,train,4,train,4
Plate2,Plate2/4_rem_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/Plate2/4_rem_rem_splitted.obj,True,85,85,True,0,61,24,0,61,R61 V24,/home/yjk/codes/LoopyCuts/test_data/Plate2/4_rem_rem_loop.txt,0.0,0.7176470588235294,0.2823529411764706,plate2,train,4,train,4
cube_minus_sphere,cube_minus_sphere/cube_minus_sphere_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/cube_minus_sphere/cube_minus_sphere_rem_splitted.obj,True,91,91,True,0,61,30,0,61,R61 V30,/home/yjk/codes/LoopyCuts/test_data/cube_minus_sphere/cube_minus_sphere_rem_loop.txt,0.0,0.6703296703296703,0.3296703296703296,cube_minus_sphere,train,4,train,4
blade,blade/blade_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/blade/blade_rem_splitted.obj,True,62,62,True,0,62,0,0,62,R62,/home/yjk/codes/LoopyCuts/test_data/blade/blade_rem_loop.txt,0.0,1.0,0.0,blade,train,4,train,4
bunny,bunny/bunny_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/bunny/bunny_rem_splitted.obj,True,63,63,True,0,63,0,0,63,R63,/home/yjk/codes/LoopyCuts/test_data/bunny/bunny_rem_loop.txt,0.0,1.0,0.0,bunny,train,5,train,5
Plate4,Plate4/6_rem_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/Plate4/6_rem_rem_splitted.obj,True,83,83,True,0,63,20,0,63,R63 V20,/home/yjk/codes/LoopyCuts/test_data/Plate4/6_rem_rem_loop.txt,0.0,0.7590361445783133,0.2409638554216867,plate4,train,5,train,5
tris_closed,tris_closed/tris_closed_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/tris_closed/tris_closed_rem_splitted.obj,True,112,112,True,3,61,48,0,64,C3 R61 V48,/home/yjk/codes/LoopyCuts/test_data/tris_closed/tris_closed_rem_loop.txt,0.0267857142857142,0.5446428571428571,0.4285714285714285,tris_closed,train,5,train,5
cup,cup/cup_rem_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/cup/cup_rem_rem_splitted.obj,True,71,71,True,2,63,6,0,65,C2 R63 V6,/home/yjk/codes/LoopyCuts/test_data/cup/cup_rem_rem_loop.txt,0.028169014084507,0.8873239436619719,0.0845070422535211,cup,train,5,train,5
bladefem,bladefem/bladefem_rem_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/bladefem/bladefem_rem_rem_splitted.obj,True,94,94,True,7,63,24,0,70,C7 R63 V24,/home/yjk/codes/LoopyCuts/test_data/bladefem/bladefem_rem_rem_loop.txt,0.0744680851063829,0.6702127659574468,0.2553191489361702,bladefem,train,6,train,6
tris_open,tris_open/tris_open_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/tris_open/tris_open_rem_splitted.obj,True,130,130,True,9,61,60,0,70,C9 R61 V60,/home/yjk/codes/LoopyCuts/test_data/tris_open/tris_open_rem_loop.txt,0.0692307692307692,0.4692307692307692,0.4615384615384615,tris_open,train,6,test,6
ujoint,ujoint/ujoint_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/ujoint/ujoint_rem_splitted.obj,True,81,81,True,0,71,10,0,71,R71 V10,/home/yjk/codes/LoopyCuts/test_data/ujoint/ujoint_rem_loop.txt,0.0,0.8765432098765432,0.1234567901234567,ujoint,train,6,train,6
metatron,metatron/metatron_rem_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/metatron/metatron_rem_rem_splitted.obj,True,87,87,True,0,71,16,0,71,R71 V16,/home/yjk/codes/LoopyCuts/test_data/metatron/metatron_rem_rem_loop.txt,0.0,0.8160919540229885,0.1839080459770115,metatron,train,6,train,6
joint,joint/joint_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/joint/joint_rem_splitted.obj,True,107,107,True,4,67,36,0,71,C4 R67 V36,/home/yjk/codes/LoopyCuts/test_data/joint/joint_rem_loop.txt,0.0373831775700934,0.6261682242990654,0.3364485981308411,joint,train,6,train,6
inlay_dovetail_3,inlay_dovetail_3/inlay_dovetail_3_rem_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/inlay_dovetail_3/inlay_dovetail_3_rem_rem_splitted.obj,True,149,149,True,10,61,78,0,71,C10 R61 V78,/home/yjk/codes/LoopyCuts/test_data/inlay_dovetail_3/inlay_dovetail_3_rem_rem_loop.txt,0.0671140939597315,0.4093959731543624,0.5234899328859061,inlay_dovetail_3,train,7,train,7
lever_arm,lever_arm/lever_arm_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/lever_arm/lever_arm_rem_splitted.obj,True,84,84,True,2,70,12,0,72,C2 R70 V12,/home/yjk/codes/LoopyCuts/test_data/lever_arm/lever_arm_rem_loop.txt,0.0238095238095238,0.8333333333333334,0.1428571428571428,lever_arm,train,7,train,7
mechanical08,mechanical08/mechanical08_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/mechanical08/mechanical08_rem_splitted.obj,True,89,89,True,8,65,16,0,73,C8 R65 V16,/home/yjk/codes/LoopyCuts/test_data/mechanical08/mechanical08_rem_loop.txt,0.0898876404494382,0.7303370786516854,0.1797752808988764,mechanical08,train,7,train,7
knob,knob/knob_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/knob/knob_rem_splitted.obj,True,101,101,True,12,61,28,0,73,C12 R61 V28,/home/yjk/codes/LoopyCuts/test_data/knob/knob_rem_loop.txt,0.1188118811881188,0.6039603960396039,0.2772277227722772,knob,train,7,train,7
boat,boat/boat_rem_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/boat/boat_rem_rem_splitted.obj,True,99,99,True,16,61,22,0,77,C9 R61 C7 V22,/home/yjk/codes/LoopyCuts/test_data/boat/boat_rem_rem_loop.txt,0.1616161616161616,0.6161616161616161,0.2222222222222222,boat,train,7,train,7
mechanical02,mechanical02/mechanical02_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/mechanical02/mechanical02_rem_splitted.obj,True,100,100,True,16,64,20,0,80,C16 R64 V20,/home/yjk/codes/LoopyCuts/test_data/mechanical02/mechanical02_rem_loop.txt,0.16,0.64,0.2,mechanical02,train,8,train,8
gear,gear/gear_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/gear/gear_rem_splitted.obj,True,287,287,True,20,61,206,0,81,C20 R61 V206,/home/yjk/codes/LoopyCuts/test_data/gear/gear_rem_loop.txt,0.0696864111498257,0.2125435540069686,0.7177700348432056,gear,train,8,train,8
bearing_plate,bearing_plate/bearing_plate_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/bearing_plate/bearing_plate_rem_splitted.obj,True,131,131,True,4,79,48,0,83,C4 R79 V48,/home/yjk/codes/LoopyCuts/test_data/bearing_plate/bearing_plate_rem_loop.txt,0.0305343511450381,0.6030534351145038,0.366412213740458,bearing_plate,train,8,train,8
hinge,hinge/hinge_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/hinge/hinge_rem_splitted.obj,True,136,136,True,8,80,48,0,88,C4 R80 C4 V48,/home/yjk/codes/LoopyCuts/test_data/hinge/hinge_rem_loop.txt,0.0588235294117647,0.5882352941176471,0.3529411764705882,hinge,train,8,train,8
impeller,impeller/impeller_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/impeller/impeller_rem_splitted.obj,True,263,263,True,30,61,172,0,91,C30 R61 V172,/home/yjk/codes/LoopyCuts/test_data/impeller/impeller_rem_loop.txt,0.1140684410646387,0.2319391634980988,0.6539923954372624,impeller,train,8,train,8
mechanical05,mechanical05/mechanical05_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/mechanical05/mechanical05_rem_splitted.obj,True,121,121,True,24,69,28,0,93,C24 R69 V28,/home/yjk/codes/LoopyCuts/test_data/mechanical05/mechanical05_rem_loop.txt,0.1983471074380165,0.5702479338842975,0.2314049586776859,mechanical05,train,9,train,9
des6,des6/des6_rem_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/des6/des6_rem_rem_splitted.obj,True,114,114,True,14,82,18,0,96,C11 R82 C3 V18,/home/yjk/codes/LoopyCuts/test_data/des6/des6_rem_rem_loop.txt,0.1228070175438596,0.7192982456140351,0.1578947368421052,des6,train,9,train,9
mechanical06,mechanical06/mechanical06_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/mechanical06/mechanical06_rem_splitted.obj,True,155,155,True,24,107,24,0,131,C24 R107 V24,/home/yjk/codes/LoopyCuts/test_data/mechanical06/mechanical06_rem_loop.txt,0.1548387096774193,0.6903225806451613,0.1548387096774193,mechanical06,train,9,train,9
motor_tail,motor_tail/motor_tail_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/motor_tail/motor_tail_rem_splitted.obj,True,331,331,True,14,145,172,0,159,C13 R145 C1 V172,/home/yjk/codes/LoopyCuts/test_data/motor_tail/motor_tail_rem_loop.txt,0.0422960725075528,0.4380664652567976,0.5196374622356495,motor_tail,train,9,train,9
camille_hand,camille_hand/camille_hand_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/camille_hand/camille_hand_rem_splitted.obj,True,199,199,True,0,199,0,0,199,R199,/home/yjk/codes/LoopyCuts/test_data/camille_hand/camille_hand_rem_loop.txt,0.0,1.0,0.0,camille_hand,train,9,train,9
kiss,kiss/kiss_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/kiss/kiss_rem_splitted.obj,True,56,56,True,0,56,0,0,56,R56,/home/yjk/codes/LoopyCuts/test_data/kiss/kiss_rem_loop.txt,0.0,1.0,0.0,kiss,dev,0,dev,0
sphinx,sphinx/sphinx_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/sphinx/sphinx_rem_splitted.obj,True,60,60,True,0,60,0,0,60,R60,/home/yjk/codes/LoopyCuts/test_data/sphinx/sphinx_rem_loop.txt,0.0,1.0,0.0,sphinx,dev,1,dev,1
bone1,bone1/bone1_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/bone1/bone1_rem_splitted.obj,True,61,61,True,0,61,0,0,61,R61,/home/yjk/codes/LoopyCuts/test_data/bone1/bone1_rem_loop.txt,0.0,1.0,0.0,bone1,dev,2,dev,2
ellipse,ellipse/ellipse_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/ellipse/ellipse_rem_splitted.obj,True,61,61,True,0,61,0,0,61,R61,/home/yjk/codes/LoopyCuts/test_data/ellipse/ellipse_rem_loop.txt,0.0,1.0,0.0,ellipse,dev,3,dev,3
vessel,vessel/vessel_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/vessel/vessel_rem_splitted.obj,True,61,61,True,0,61,0,0,61,R61,/home/yjk/codes/LoopyCuts/test_data/vessel/vessel_rem_loop.txt,0.0,1.0,0.0,vessel,dev,4,dev,4
busto_bimba,busto_bimba/busto_bimba_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/busto_bimba/busto_bimba_rem_splitted.obj,True,63,63,True,0,63,0,0,63,R63,/home/yjk/codes/LoopyCuts/test_data/busto_bimba/busto_bimba_rem_loop.txt,0.0,1.0,0.0,busto_bimba,dev,5,dev,5
sculpt,sculpt/sculpt_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/sculpt/sculpt_rem_splitted.obj,True,80,80,True,0,68,12,0,68,R68 V12,/home/yjk/codes/LoopyCuts/test_data/sculpt/sculpt_rem_loop.txt,0.0,0.85,0.15,sculpt,dev,6,dev,6
beveled_shoulder_2,beveled_shoulder_2/beveled_shoulder_2_rem_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/beveled_shoulder_2/beveled_shoulder_2_rem_rem_splitted.obj,True,121,121,True,10,61,50,0,71,C10 R61 V50,/home/yjk/codes/LoopyCuts/test_data/beveled_shoulder_2/beveled_shoulder_2_rem_rem_loop.txt,0.0826446280991735,0.5041322314049587,0.4132231404958678,beveled_shoulder_2,dev,7,dev,7
pinion,pinion/pinion_rem_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/pinion/pinion_rem_rem_splitted.obj,True,295,295,True,30,61,204,0,91,C30 R61 V204,/home/yjk/codes/LoopyCuts/test_data/pinion/pinion_rem_rem_loop.txt,0.1016949152542373,0.2067796610169491,0.6915254237288135,pinion,dev,8,dev,8
rod,rod/rod_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/rod/rod_rem_splitted.obj,True,135,135,True,3,104,28,0,107,C3 R104 V28,/home/yjk/codes/LoopyCuts/test_data/rod/rod_rem_loop.txt,0.0222222222222222,0.7703703703703704,0.2074074074074074,rod,dev,9,dev,9
hanger,hanger/hanger_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/hanger/hanger_rem_splitted.obj,True,82,82,True,8,46,28,0,54,C8 R46 V28,/home/yjk/codes/LoopyCuts/test_data/hanger/hanger_rem_loop.txt,0.0975609756097561,0.5609756097560976,0.3414634146341463,hanger,test,0,test,0
chinese_lion,chinese_lion/chinese_lion_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/chinese_lion/chinese_lion_rem_splitted.obj,True,59,59,True,0,59,0,0,59,R59,/home/yjk/codes/LoopyCuts/test_data/chinese_lion/chinese_lion_rem_loop.txt,0.0,1.0,0.0,chinese_lion,test,1,test,1
clef,clef/clef_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/clef/clef_rem_splitted.obj,True,61,61,True,0,61,0,0,61,R61,/home/yjk/codes/LoopyCuts/test_data/clef/clef_rem_loop.txt,0.0,1.0,0.0,clef,test,2,test,2
pig,pig/pig_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/pig/pig_rem_splitted.obj,True,61,61,True,0,61,0,0,61,R61,/home/yjk/codes/LoopyCuts/test_data/pig/pig_rem_loop.txt,0.0,1.0,0.0,pig,test,3,test,3
Plate1,Plate1/1_rem_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/Plate1/1_rem_rem_splitted.obj,True,85,85,True,0,61,24,0,61,R61 V24,/home/yjk/codes/LoopyCuts/test_data/Plate1/1_rem_rem_loop.txt,0.0,0.7176470588235294,0.2823529411764706,plate1,test,4,test,4
cube_carved,cube_carved/cube_carved_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/cube_carved/cube_carved_rem_splitted.obj,True,89,89,True,0,63,26,0,63,R63 V26,/home/yjk/codes/LoopyCuts/test_data/cube_carved/cube_carved_rem_loop.txt,0.0,0.7078651685393258,0.2921348314606741,cube_carved,test,5,train,5
wrench,wrench/wrench_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/wrench/wrench_rem_splitted.obj,True,103,103,True,6,65,32,0,71,C6 R65 V32,/home/yjk/codes/LoopyCuts/test_data/wrench/wrench_rem_loop.txt,0.058252427184466,0.6310679611650486,0.3106796116504854,wrench,test,6,train,6
halved_oblique_scarf_3,halved_oblique_scarf_3/halved_oblique_scarf_3_rem_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/halved_oblique_scarf_3/halved_oblique_scarf_3_rem_rem_splitted.obj,True,163,163,True,14,61,88,0,75,C11 R61 C3 V88,/home/yjk/codes/LoopyCuts/test_data/halved_oblique_scarf_3/halved_oblique_scarf_3_rem_rem_loop.txt,0.0858895705521472,0.3742331288343558,0.5398773006134969,halved_oblique_scarf_3,test,7,test,7
gyroidpuzzle,gyroidpuzzle/gyroidpuzzle_rem_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/gyroidpuzzle/gyroidpuzzle_rem_rem_splitted.obj,True,179,179,True,0,81,98,0,81,R81 V98,/home/yjk/codes/LoopyCuts/test_data/gyroidpuzzle/gyroidpuzzle_rem_rem_loop.txt,0.0,0.4525139664804469,0.547486033519553,gyroidpuzzle,test,8,test,8
mech_piece,mech_piece/mech_piece_rem_loop.txt,/home/yjk/codes/LoopyCuts/test_data/mech_piece/mech_piece_rem_splitted.obj,True,135,135,True,5,94,36,0,99,C5 R94 V36,/home/yjk/codes/LoopyCuts/test_data/mech_piece/mech_piece_rem_loop.txt,0.037037037037037,0.6962962962962963,0.2666666666666666,mech_piece,test,9,test,9
