model,split,actionable_nonconvex,v1_complexity_stratum,raw_demo_status,demo_schema_version,demo_observation_version,demo_reward_version,demo_teacher_version,demo_num_steps,demo_total_return,demo_outcome,demo_quality_class,demo_npz_file,demo_metadata_file,demo_npz_sha256,original_profile_status,original_num_steps,original_committed_steps,original_reverted_steps,original_selection_success,original_tet_ratio,original_outcome,original_final_hex,original_final_total_polys,original_selection_peak_rss_mb,original_selection_peak_process_swap_mb,original_selection_min_mem_available_mb,original_peak_rss_mb,original_peak_process_swap_mb,original_min_mem_available_mb,original_selection_pilot_status,original_selection_pilot_stop_reason,original_selection_pilot_terminal,original_selection_pilot_completed_steps,original_selection_pilot_tet_ratio,original_selection_pilot_peak_rss_mb,original_selection_pilot_peak_process_swap_mb,original_selection_pilot_min_mem_available_mb,demo_baseline_trajectory_match,quality_role,quality_reason
blade,train,62,4,NOT_COLLECTED,,,,,,,,,,,,COMPLETE,48,43,5,1,5.1064316786768265,NON_FULL_HEX,4110,4127,2100.03515625,0.0,4986.4296875,3873.61328125,0.0,3212.58984375,SELECTION_TERMINAL,,True,48,5.1064316786768265,2099.98828125,0.0,4992.65234375,,UNFROZEN,UNFROZEN
bunny,train,63,5,NOT_COLLECTED,,,,,,,,,,,,COMPLETE,32,31,1,1,4.092705906096912,FULL_HEX,2648,2648,1520.3984375,0.0,5565.66015625,2805.94140625,0.0,4276.703125,SELECTION_TERMINAL,,True,32,4.092705906096912,1535.390625,0.0,5562.265625,,UNFROZEN,UNFROZEN
Plate4,train,63,5,COLLECTED,loopycuts_demo_episode_v1,observation_v1,reward_v2,original_runtime_policy_v1,12,2.198052540421486,FULL_HEX,UNCLASSIFIED,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/Plate4/Plate4_original_demo_v1.npz,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/Plate4/Plate4_original_demo_v1.json,72f182c852abdbaa1d4735166b91c5230401411b24976182d32236ac40592443,COMPLETE,12,11,1,1,1.6677431920953028,FULL_HEX,648,648,1292.5078125,0.0,5797.28515625,2124.48046875,0.0,4967.4140625,SELECTION_TERMINAL,,True,12,1.6677431920953028,1272.3984375,0.0,5812.23828125,MATCH,UNFROZEN,UNFROZEN
tris_closed,train,64,5,COLLECTED,loopycuts_demo_episode_v1,observation_v1,reward_v2,original_runtime_policy_v1,3,2.8668135553598404,FULL_HEX,UNCLASSIFIED,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/tris_closed/tris_closed_original_demo_v1.npz,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/tris_closed/tris_closed_original_demo_v1.json,ab102b6ed1b3da766c033cf9c2ade9142365255453462abf14a3cb89290d49a1,COMPLETE,3,3,0,1,1.0901458393697312,FULL_HEX,30,30,358.28515625,0.0,6730.4609375,358.28515625,0.0,6730.4609375,SELECTION_TERMINAL,,True,3,1.0901458393697312,358.25390625,0.0,6726.34765625,MATCH,UNFROZEN,UNFROZEN
cup,train,65,5,COLLECTED,loopycuts_demo_episode_v1,observation_v1,reward_v2,original_runtime_policy_v1,10,2.2343916967511177,FULL_HEX,UNCLASSIFIED,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/cup/cup_original_demo_v1.npz,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/cup/cup_original_demo_v1.json,9069f52722f0eaa16aac0801dcdd8382afa6482c24df40c452798a7304bd1a8b,COMPLETE,10,8,2,1,1.509475355569496,FULL_HEX,280,280,1003.3125,0.0,6058.05859375,1494.25,0.0,5581.359375,SELECTION_TERMINAL,,True,10,1.509475355569496,1003.24609375,0.0,6081.0,MATCH,UNFROZEN,UNFROZEN
bladefem,train,70,6,NOT_COLLECTED,,,,,,,,,,,,COMPLETE,70,49,21,0,7.4191267598099095,NON_FULL_HEX,4128,4144,1407.87890625,0.0,5750.61328125,2575.75390625,0.0,4562.109375,SELECTION_TERMINAL,,True,70,7.4191267598099095,1407.86328125,0.0,5759.8984375,,UNFROZEN,UNFROZEN
tris_open,train,70,6,COLLECTED,loopycuts_demo_episode_v1,observation_v1,reward_v2,original_runtime_policy_v1,9,2.1800916977226734,FULL_HEX,UNCLASSIFIED,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/tris_open/tris_open_original_demo_v1.npz,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/tris_open/tris_open_original_demo_v1.json,479d3794fe85050f7ec65a1b6338d072ba9082a29689b88763c0ac90ce8635aa,COMPLETE,9,9,0,1,1.9963828091472013,FULL_HEX,120,120,371.80078125,0.0,6748.39453125,611.51953125,0.0,6502.19140625,SELECTION_TERMINAL,,True,9,1.9963828091472013,351.26171875,0.0,6788.140625,MATCH,UNFROZEN,UNFROZEN
ujoint,train,71,6,COLLECTED,loopycuts_demo_episode_v1,observation_v1,reward_v2,original_runtime_policy_v1,6,2.537695214152336,FULL_HEX,UNCLASSIFIED,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/ujoint/ujoint_original_demo_v1.npz,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/ujoint/ujoint_original_demo_v1.json,c5efb145f9d0fc1421fc32c5fbb9153da24217681c0c1f4098cde84500e30bc1,COMPLETE,6,6,0,1,1.4590679393599102,FULL_HEX,48,48,412.71484375,0.0,6705.12890625,684.7734375,0.0,6434.96875,SELECTION_TERMINAL,,True,6,1.4590679393599102,412.1328125,0.0,6737.640625,MATCH,UNFROZEN,UNFROZEN
metatron,train,71,6,NOT_COLLECTED,,,,,,,,,,,,COMPLETE,71,70,1,0,24.23032124304051,FULL_HEX,560,560,1699.23828125,0.0,5450.453125,3202.4296875,0.0,3931.44921875,SELECTION_TERMINAL,,True,71,24.23032124304051,1699.2890625,0.0,5463.74609375,,UNFROZEN,UNFROZEN
joint,train,71,6,COLLECTED,loopycuts_demo_episode_v1,observation_v1,reward_v2,original_runtime_policy_v1,9,2.2035689055919647,FULL_HEX,UNCLASSIFIED,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/joint/joint_original_demo_v1.npz,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/joint/joint_original_demo_v1.json,ebc96fa9d742a7b41fd4d82aeda6b529439263be05c0b35f8983d05e39abd9b8,COMPLETE,9,9,0,1,1.9535935783546263,FULL_HEX,180,180,443.04296875,0.0,6689.046875,746.6953125,0.0,6371.35546875,SELECTION_TERMINAL,,True,9,1.9535935783546263,425.1484375,0.0,6728.86328125,MATCH,UNFROZEN,UNFROZEN
inlay_dovetail_3,train,71,7,NOT_COLLECTED,,,,,,,,,,,,COMPLETE,10,9,1,1,2.3991105818628253,NON_FULL_HEX,86,92,868.69140625,0.0,6251.09375,1511.1796875,0.0,5605.73828125,SELECTION_TERMINAL,,True,10,2.3991105818628253,872.99609375,0.0,6271.7265625,,UNFROZEN,UNFROZEN
lever_arm,train,72,7,COLLECTED,loopycuts_demo_episode_v1,observation_v1,reward_v2,original_runtime_policy_v1,29,1.036242874339223,FULL_HEX,UNCLASSIFIED,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/lever_arm/lever_arm_original_demo_v1.npz,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/lever_arm/lever_arm_original_demo_v1.json,72c88e1dc5003fd88d3fa1ca7e4cc5ce4769573aacb0b74d09456aeba7a23980,COMPLETE,29,28,1,1,4.310178071047636,FULL_HEX,780,780,694.84765625,0.0,6416.42578125,1249.0,0.0,5858.07421875,SELECTION_TERMINAL,,True,29,4.310178071047636,694.6953125,0.0,6450.7265625,MATCH,UNFROZEN,UNFROZEN
mechanical08,train,73,7,NOT_COLLECTED,,,,,,,,,,,,COMPLETE,73,71,2,0,25.956751396807842,NON_FULL_HEX,11100,11136,2173.95703125,0.0,4924.84375,4107.36328125,0.0,3004.66015625,SELECTION_TERMINAL,,True,73,25.956751396807842,2164.59375,0.0,4944.05859375,,UNFROZEN,UNFROZEN
knob,train,73,7,NOT_COLLECTED,,,,,,,,,,,,COMPLETE,22,22,0,1,3.1799166731969803,NON_FULL_HEX,710,715,851.5859375,0.0,6265.46484375,1585.80078125,0.0,5518.86328125,SELECTION_TERMINAL,,True,22,3.1799166731969803,851.59765625,0.0,6267.59375,,UNFROZEN,UNFROZEN
boat,train,77,7,NOT_COLLECTED,,,,,,,,,,,,UNPROFILED,,,,,,,,,,,,,,,RESOURCE_PILOT_STOPPED,MIN_MEM_THRESHOLD,False,63,7.9157907133496535,5087.2890625,0.0,2024.1015625,,UNFROZEN,UNFROZEN
mechanical02,train,80,8,COLLECTED,loopycuts_demo_episode_v1,observation_v1,reward_v2,original_runtime_policy_v1,42,0.17514271289110184,FULL_HEX,UNCLASSIFIED,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/mechanical02/mechanical02_original_demo_v1.npz,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/mechanical02/mechanical02_original_demo_v1.json,dfc9a15c0df3806db4a7947893f2f84b85de994767e35c8f270a1817ad8b9906,COMPLETE,42,38,4,1,6.68493961138298,FULL_HEX,1476,1476,1301.46875,0.0,5844.21875,2433.53125,0.0,4703.9140625,,,,,,,,,MATCH,UNFROZEN,UNFROZEN
gear,train,81,8,COLLECTED,loopycuts_demo_episode_v1,observation_v1,reward_v2,original_runtime_policy_v1,20,1.131974272429943,FULL_HEX,UNCLASSIFIED,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/gear/gear_original_demo_v1.npz,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/gear/gear_original_demo_v1.json,0c3bfe5889c4bd82dac96c51efc17b3517ab318de655cb484a733d4d3507a7d6,COMPLETE,20,18,2,1,4.141724388058428,FULL_HEX,314,314,1043.51953125,0.0,6167.3515625,1886.9296875,0.0,5326.94140625,,,,,,,,,MATCH,UNFROZEN,UNFROZEN
bearing_plate,train,83,8,COLLECTED,loopycuts_demo_episode_v1,observation_v1,reward_v2,original_runtime_policy_v1,18,1.873576583340764,FULL_HEX,UNCLASSIFIED,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/bearing_plate/bearing_plate_original_demo_v1.npz,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/bearing_plate/bearing_plate_original_demo_v1.json,515328db0a578a1d57f9b2870c29d8fd03286f2f6a4ef71119364e6bc3a8712e,COMPLETE,18,18,0,1,2.4832194125058282,FULL_HEX,296,296,466.3515625,0.0,6759.69921875,771.765625,0.0,6436.3984375,,,,,,,,,MATCH,UNFROZEN,UNFROZEN
hinge,train,88,8,COLLECTED,loopycuts_demo_episode_v1,observation_v1,reward_v2,original_runtime_policy_v1,23,1.4772064462304115,FULL_HEX,UNCLASSIFIED,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/hinge/hinge_original_demo_v1.npz,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/hinge/hinge_original_demo_v1.json,f1cde8e21d56f15d1011b22914536a046f37d9933545a9f37f0fae699edbc572,COMPLETE,23,23,0,1,3.5304657676941544,FULL_HEX,428,428,946.86328125,0.0,6268.3359375,1770.3359375,0.0,5434.28125,,,,,,,,,MATCH,UNFROZEN,UNFROZEN
impeller,train,91,8,NOT_COLLECTED,,,,,,,,,,,,COMPLETE,29,27,2,1,5.9988930834235115,FULL_HEX,1024,1024,2414.42578125,0.0,4729.15625,4516.49609375,0.0,2616.19140625,,,,,,,,,,UNFROZEN,UNFROZEN
mechanical05,train,93,9,NOT_COLLECTED,,,,,,,,,,,,COMPLETE,92,82,10,0,27.506142972344765,NON_FULL_HEX,8612,8626,4565.53125,0.0,2519.4765625,7226.80859375,1676.9453125,19.890625,,,,,,,,,,UNFROZEN,UNFROZEN
des6,train,96,9,COLLECTED,loopycuts_demo_episode_v1,observation_v1,reward_v2,original_runtime_policy_v1,26,-5.805674262344837,NON_FULL_HEX,UNCLASSIFIED,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/des6/des6_original_demo_v1.npz,/home/yjk/loopycuts_test/demonstrations_v1/raw/train/des6/des6_original_demo_v1.json,7be3dba2a3239d7be70b4c6cb2839eeaef2b4fb70420e304caffbde252efa09d,COMPLETE,26,23,3,0,3.428044578048244,NON_FULL_HEX,766,774,875.65625,0.0,6237.23828125,1541.9921875,0.0,5571.46875,,,,,,,,,MATCH,UNFROZEN,UNFROZEN
mechanical06,train,131,9,NOT_COLLECTED,,,,,,,,,,,,COMPLETE,68,54,14,1,11.396207374028961,NON_FULL_HEX,3832,3874,3117.296875,0.0,3972.24609375,7133.109375,0.0,33.453125,,,,,,,,,,UNFROZEN,UNFROZEN
motor_tail,train,159,9,NOT_COLLECTED,,,,,,,,,,,,COMPLETE,54,53,1,1,6.49883076923077,FULL_HEX,884,884,1920.5078125,0.0,5223.265625,3603.53515625,0.0,3540.94140625,,,,,,,,,,UNFROZEN,UNFROZEN
camille_hand,train,199,9,NOT_COLLECTED,,,,,,,,,,,,COMPLETE,62,61,1,1,6.5061317892620005,FULL_HEX,1658,1658,3135.67578125,0.0,3997.4921875,5752.015625,0.0,1375.86328125,,,,,,,,,,UNFROZEN,UNFROZEN
